date,close,open,high,low,volume
2022-01-06,43083.76,43446.34,43794.50,42432.99,30208048289
2022-01-07,41565.18,43081.79,43144.72,40571.53,84196607520
2022-01-08,41684.84,41564.57,42318.97,40505.30,28066355845
2022-01-09,41876.52,41684.84,42831.12,41209.53,21294384372
2022-01-10,41824.07,41876.52,42250.00,39650.00,32104232331
2022-01-11,42753.44,41824.06,43130.00,41274.80,26327648900
2022-01-12,43920.37,42749.84,44342.83,42459.21,33499938689
2022-01-13,42581.65,43921.21,44453.22,42325.00,47691135082
2022-01-14,43090.72,42576.27,43473.98,41752.00,23577403399
2022-01-15,43098.20,43090.72,43819.39,42577.35,18371348298
2022-01-16,43104.34,43098.20,43497.24,42600.00,17902097845
2022-01-17,42218.01,43104.34,43200.00,41567.64,21690904261
2022-01-18,42369.74,42214.66,42692.71,41287.79,22417209227
2022-01-19,41674.27,42372.15,42586.03,41126.00,23091543258
2022-01-20,40670.97,41672.14,43511.99,40555.00,20382033940
2022-01-21,36456.94,40671.77,41127.79,35422.00,43011992031
2022-01-22,35066.43,36456.67,36835.93,34017.56,39714385405
